id_despesa,categoria,descricao,valor,data_despesa
1,Salários,Into single young first score second.,36770.89,2023-06-02
2,Marketing,Determine research couple these drive contain.,4691.43,2024-10-27
3,TI,Laugh natural significant woman particular through surface.,22583.3,2023-09-30
4,Infraestrutura,Study record though old of just.,24791.05,2023-09-24
5,Infraestrutura,It time eat word rule ten.,15527.86,2023-03-02
6,Infraestrutura,Pull message result.,39583.73,2023-09-04
7,TI,Result budget of moment interview magazine.,34353.56,2024-11-18
8,Salários,Husband unit ready beautiful movie action weight.,48441.41,2024-09-20
9,Operacional,Business occur course pressure lose maintain part.,47892.95,2024-08-31
10,Salários,Or sister hard oil.,30559.6,2024-01-23
11,TI,End company edge story particular food choose baby.,37924.74,2023-06-22
12,TI,Wonder issue bit whose food would party.,42686.62,2023-06-09
13,TI,Street sometimes body director prove.,29600.76,2024-02-19
14,Marketing,Soon now main her window.,19980.08,2023-10-13
15,Marketing,Officer executive TV ever community race.,49918.42,2024-06-12
16,Marketing,Any audience option drop.,24851.64,2023-10-15
17,Salários,Worry accept also.,22291.65,2024-11-08
18,Marketing,Give both practice usually put store maintain get.,7505.86,2024-03-31
19,Operacional,Several hand if build ok protect market.,34101.52,2025-01-02
20,Marketing,Size project reality similar perhaps.,10691.16,2024-06-14
21,Salários,Some opportunity political human price around a.,692.85,2023-07-30
22,Infraestrutura,Information pattern age these.,21528.02,2023-07-28
23,TI,Morning hard create property oil.,47892.62,2024-02-17
24,Marketing,Southern see manager order seven.,26531.43,2023-05-15
25,Salários,Message no pay dog.,36033.2,2023-05-05
26,Operacional,Reflect meet Democrat you there environment use marriage.,36109.4,2023-10-16
27,TI,At person mouth away effort gun professional she.,825.13,2023-04-22
28,Salários,Mother against identify include return task.,21051.23,2023-11-27
29,Infraestrutura,Seat amount these hope issue difference walk look.,31771.09,2023-10-23
30,Marketing,Many discuss share trial culture.,43004.55,2024-08-21
31,Infraestrutura,Blood meet receive song.,41674.34,2023-11-09
32,Marketing,Could camera sport.,15102.2,2024-05-11
33,TI,Sure behavior talk occur once newspaper now weight.,18809.31,2023-06-24
34,Operacional,Term human pretty.,18335.39,2023-03-23
35,Salários,Less power east energy.,22943.19,2025-01-06
36,Marketing,Radio only top moment growth.,3426.55,2024-04-16
37,Salários,Important realize present practice financial heavy yard.,10216.65,2023-06-26
38,Operacional,See power on its how too voice.,39949.17,2024-10-19
39,Marketing,Five star subject other study house.,12372.54,2024-12-23
40,Salários,Pass resource night.,21070.23,2023-04-02
41,Salários,Condition senior pretty there sing study.,25471.25,2024-06-06
42,Marketing,Than response chance east science value.,8135.85,2023-05-28
43,Operacional,Among state hard life authority international main reflect.,25688.17,2024-04-03
44,Salários,Consider hospital before expect black business key.,14784.95,2025-01-23
45,Marketing,Might central under security.,16501.36,2024-11-01
46,Operacional,Through party sport team ok.,41175.05,2023-05-08
47,Salários,Writer because thousand throughout.,18823.79,2024-07-17
48,Operacional,Claim product girl growth.,37182.79,2023-07-09
49,Salários,Movie sense line scene.,10995.45,2024-04-01
50,Infraestrutura,Forget soldier sound store family discuss card.,6029.09,2024-09-30
51,Infraestrutura,Wear industry center society among.,7796.52,2024-04-21
52,Operacional,Above oil may Republican nation various Republican.,31687.25,2023-12-23
53,Infraestrutura,Place free including do but real federal.,36833.46,2024-01-27
54,Marketing,Cultural accept where music wide.,9228.93,2023-05-05
55,Salários,Significant system on assume determine rock may.,12914.81,2024-10-01
56,TI,Establish address list environmental.,10298.84,2023-11-17
57,Infraestrutura,Huge themselves pay remain thus left word.,38806.46,2023-03-27
58,Operacional,Activity wide teacher protect station build.,16427.92,2024-05-11
59,Operacional,Head business operation prove single have everybody.,25881.02,2025-02-24
60,Infraestrutura,Toward white development strong.,29680.2,2023-08-26
61,TI,Much art before ask stuff.,16713.48,2025-01-26
62,Marketing,Individual us fill would natural discover.,1054.6,2024-06-18
63,Salários,Lose grow either example rise win action.,30799.49,2024-02-15
64,Salários,Some thought chair sit create.,28655.24,2024-10-12
65,Operacional,Way health begin project interesting image picture.,35539.65,2024-06-13
66,Operacional,College far others example community media.,1144.31,2023-12-13
67,TI,Clear hard job or contain view institution.,23281.65,2023-12-31
68,Marketing,Act standard establish onto them.,18429.18,2023-09-06
69,Marketing,Matter mind public thousand way include.,12026.85,2025-02-20
70,Operacional,Age little easy board charge through.,30847.94,2024-07-03
71,Marketing,Myself director measure.,3867.78,2023-04-17
72,Salários,Minute five light measure entire floor.,4840.26,2025-01-05
73,Operacional,Natural brother natural.,44899.11,2024-07-26
74,Salários,Cold yeah prove many home all tough.,38431.89,2024-07-27
75,Operacional,Visit security law certainly create.,20152.28,2023-11-29
76,TI,Shake those could question recent draw act.,29180.91,2023-07-01
77,Salários,Talk forget various rock.,5164.9,2023-04-11
78,TI,Three president family little admit degree.,21819.81,2025-01-22
79,Marketing,Once material eye cause one receive.,10451.75,2024-06-14
80,Marketing,Situation live food student senior wrong.,18439.51,2024-01-26
81,Infraestrutura,Claim this season fight song.,37233.85,2023-10-30
82,Infraestrutura,Beat happen officer remain yeah agency.,14550.05,2024-01-14
83,Marketing,Name traditional sound cost Republican have address.,29351.15,2024-02-01
84,Operacional,Election respond perform wide.,23419.53,2023-04-14
85,Salários,Rather audience person themselves trip buy rather effect.,5492.34,2024-09-18
86,TI,Stay pass form here above investment.,44088.49,2023-07-05
87,Infraestrutura,Glass religious effort lose writer law degree.,42061.74,2024-12-12
88,TI,Moment data modern central.,28200.4,2025-02-10
