id_fatura,id_cliente,data_emissao,data_vencimento,valor_total,status
1,4054,2024-06-11,2024-10-22,9899.55,Atrasada
2,1364,2023-08-01,2025-01-10,4061.43,Atrasada
3,4917,2024-02-20,2024-05-20,2007.58,Paga
4,3129,2025-01-08,2025-02-22,4698.69,Pendente
5,3832,2024-11-14,2025-02-01,2389.18,Pendente
6,3459,2023-10-21,2024-04-10,3153.83,Pendente
7,3094,2023-04-05,2023-06-01,458.79,Atrasada
8,3774,2023-12-07,2024-05-20,6466.18,Atrasada
9,1655,2023-04-10,2024-11-19,3186.31,Paga
10,3642,2023-06-17,2024-05-06,3235.03,Paga
11,4625,2024-10-07,2024-10-21,2257.51,Paga
12,3422,2023-11-23,2024-05-18,1953.44,Atrasada
13,3105,2023-06-08,2023-06-21,4038.5,Pendente
14,1542,2024-02-02,2024-10-18,2720.64,Paga
15,2196,2023-10-19,2024-05-15,413.84,Paga
16,3928,2023-12-26,2024-05-21,2167.17,Paga
17,4765,2025-02-09,2025-02-21,9239.08,Pendente
18,4855,2024-09-28,2024-10-01,8612.11,Atrasada
19,4944,2024-04-02,2025-01-06,4267.8,Atrasada
20,558,2024-02-02,2024-02-11,5008.4,Atrasada
21,4401,2023-06-21,2024-07-16,1573.93,Atrasada
22,1402,2024-02-21,2025-01-20,1848.6,Pendente
23,3617,2024-01-23,2024-06-06,5670.65,Pendente
24,3650,2024-07-02,2024-07-11,6228.41,Pendente
25,4579,2024-05-23,2024-11-28,1702.83,Atrasada
26,3556,2024-02-07,2025-01-14,8175.28,Atrasada
27,3964,2023-03-18,2024-01-15,9090.27,Atrasada
28,271,2024-06-21,2024-09-24,2757.72,Paga
29,2809,2024-06-01,2024-12-23,8806.7,Paga
30,4094,2024-09-13,2024-12-21,3171.81,Paga
31,4973,2023-08-23,2024-12-12,4661.55,Atrasada
32,615,2024-10-09,2025-01-22,7460.26,Paga
33,4823,2024-10-17,2025-01-15,6225.82,Paga
34,2324,2023-10-24,2024-08-24,9532.94,Atrasada
35,1428,2023-03-08,2024-12-06,925.54,Pendente
36,4316,2023-12-08,2024-08-05,3631.36,Atrasada
37,3807,2024-09-08,2025-03-22,8529.58,Pendente
38,1812,2023-09-11,2025-02-05,4728.31,Pendente
39,1142,2024-10-17,2024-11-23,4556.52,Atrasada
40,682,2023-10-26,2024-03-22,4275.79,Pendente
41,232,2025-01-07,2025-02-28,2602.92,Atrasada
42,2316,2023-09-28,2025-01-21,6983.2,Pendente
43,3582,2023-04-01,2024-04-13,2548.47,Pendente
44,3513,2023-12-23,2024-10-18,3493.13,Atrasada
45,4189,2023-11-16,2025-01-16,755.85,Pendente
46,3905,2024-12-24,2025-01-17,3421.77,Paga
47,571,2024-09-28,2024-11-26,7936.62,Pendente
48,1042,2024-10-28,2025-02-07,8196.09,Pendente
49,877,2025-01-27,2025-02-11,3647.79,Paga
50,2678,2025-02-25,2025-03-19,4288.5,Pendente
51,766,2023-04-24,2024-02-16,3483.6,Paga
52,2211,2024-01-10,2024-08-17,7464.59,Pendente
53,132,2023-05-24,2024-10-26,2976.1,Paga
54,2442,2024-03-29,2024-04-30,1835.72,Atrasada
55,3703,2024-04-19,2024-07-30,7609.43,Paga
56,2994,2023-03-09,2025-01-10,7507.31,Atrasada
57,2543,2024-02-14,2024-07-18,1780.98,Paga
58,926,2024-02-18,2024-02-24,5671.76,Pendente
59,898,2024-06-06,2024-07-31,5163.81,Atrasada
60,764,2024-09-22,2024-10-15,1757.86,Paga
61,4816,2023-05-17,2023-10-17,9053.44,Pendente
62,1910,2023-08-06,2024-10-28,6195.41,Paga
63,118,2024-04-02,2024-04-19,1187.92,Atrasada
64,432,2024-01-21,2024-04-20,2702.53,Paga
65,1934,2023-04-09,2023-07-19,6462.24,Atrasada
66,4408,2024-04-28,2025-01-20,6568.51,Pendente
67,945,2023-12-11,2024-08-07,9225.49,Pendente
68,409,2023-08-20,2024-05-30,2916.61,Pendente
69,2509,2024-01-24,2024-10-20,9208.41,Atrasada
70,3275,2023-05-23,2024-10-07,639.24,Atrasada
71,3532,2024-11-15,2025-03-13,9077.89,Paga
72,1314,2024-04-22,2024-10-22,7321.28,Atrasada
73,3729,2024-09-17,2025-03-27,1465.58,Pendente
74,1755,2024-04-01,2024-05-07,997.25,Pendente
75,4035,2024-11-29,2025-01-16,6907.13,Pendente
76,566,2023-05-02,2024-06-20,4057.35,Pendente
77,75,2023-03-20,2024-01-20,8421.87,Pendente
78,1711,2024-08-05,2024-10-30,4125.78,Atrasada
79,2814,2024-02-22,2024-07-20,1203.36,Paga
80,2397,2024-06-25,2024-06-30,1427.14,Atrasada
81,1340,2023-07-06,2023-12-29,213.83,Paga
82,2635,2024-12-28,2025-02-19,4310.34,Paga
83,340,2024-09-03,2025-02-27,4622.5,Paga
84,4067,2024-01-05,2024-06-13,1637.56,Atrasada
85,3363,2024-09-26,2024-10-01,5426.02,Atrasada
86,2194,2023-06-15,2025-03-25,7860.69,Pendente
87,1990,2024-05-11,2024-06-01,4564.32,Atrasada
88,1644,2025-01-10,2025-02-11,3867.48,Pendente
89,3393,2023-06-12,2024-08-27,6963.77,Atrasada
90,833,2023-03-02,2024-07-23,8527.71,Paga
91,4606,2024-02-29,2024-04-10,1232.59,Atrasada
92,4524,2024-07-13,2024-08-01,8116.04,Atrasada
93,180,2024-04-11,2024-08-30,4591.65,Atrasada
94,3082,2024-04-25,2025-01-11,8610.16,Paga
95,3107,2024-12-14,2025-01-02,9411.28,Atrasada
96,2908,2024-09-07,2024-10-11,1295.48,Atrasada
97,3431,2023-08-18,2024-04-13,1865.44,Pendente
98,1998,2024-01-31,2024-08-01,4415.66,Atrasada
99,2083,2024-05-17,2025-01-01,1858.19,Atrasada
100,3345,2024-04-26,2025-03-05,3902.58,Atrasada
101,4373,2023-12-06,2023-12-19,2329.91,Paga
102,1642,2023-03-04,2024-12-06,8300.92,Atrasada
103,2705,2023-09-28,2024-12-28,1171.87,Pendente
104,1017,2023-10-16,2023-11-24,8874.57,Pendente
105,4639,2023-09-02,2024-09-27,4432.77,Pendente
106,206,2025-02-12,2025-02-20,7423.65,Atrasada
107,179,2023-04-17,2024-01-14,6397.62,Paga
108,4944,2024-12-22,2024-12-28,8982.4,Atrasada
109,1792,2023-10-29,2024-07-18,4208.46,Pendente
110,702,2023-06-01,2023-08-23,2996.65,Pendente
111,3338,2023-03-15,2025-02-21,6674.19,Atrasada
112,944,2024-06-09,2024-10-27,8942.31,Pendente
113,1968,2023-08-30,2024-10-21,3734.43,Paga
114,1685,2024-07-01,2025-02-18,1428.29,Paga
115,2875,2023-04-06,2024-12-21,350.06,Pendente
116,2338,2023-05-28,2024-04-15,4838.48,Atrasada
117,2953,2023-03-27,2024-08-28,4635.06,Atrasada
118,722,2024-01-19,2024-03-25,6939.54,Atrasada
119,3699,2023-03-17,2024-03-19,2036.42,Pendente
120,3321,2023-05-25,2024-03-22,9922.33,Paga
121,3082,2024-08-27,2024-10-14,4902.5,Pendente
122,1589,2024-11-27,2025-02-22,9861.46,Atrasada
123,2686,2024-07-14,2025-01-10,8108.1,Paga
124,2007,2024-10-09,2024-11-12,4160.18,Pendente
125,4819,2023-11-27,2024-05-25,1422.74,Paga
126,4459,2024-03-24,2024-04-08,302.3,Pendente
127,4922,2023-05-15,2024-08-03,3313.59,Paga
128,4900,2024-10-02,2024-12-20,1948.62,Pendente
129,3892,2025-01-26,2025-02-05,4588.33,Paga
130,4958,2023-12-04,2025-01-12,9375.64,Pendente
131,3600,2023-08-31,2024-09-27,6633.95,Paga
132,2856,2023-05-06,2023-07-24,1642.73,Pendente
133,4131,2024-01-13,2024-05-19,3035.78,Pendente
134,458,2025-02-19,2025-03-02,3300.66,Pendente
135,3634,2023-08-05,2023-08-22,4943.96,Atrasada
136,894,2023-06-27,2024-06-11,1963.21,Paga
137,145,2024-06-11,2024-09-25,6095.41,Paga
138,189,2023-03-03,2023-07-31,6398.53,Atrasada
139,465,2025-01-02,2025-02-18,5429.59,Pendente
140,1672,2024-11-30,2025-02-23,2360.38,Pendente
141,4920,2024-12-20,2025-01-03,1047.42,Paga
142,3109,2024-05-27,2024-10-01,4932.35,Atrasada
143,4282,2024-12-09,2025-01-12,6920.75,Pendente
144,2799,2024-03-27,2024-11-05,4892.67,Atrasada
145,3722,2024-01-26,2024-07-23,2525.53,Atrasada
146,477,2023-05-11,2024-06-03,8476.52,Atrasada
147,3418,2024-06-18,2024-06-30,6190.77,Pendente
148,151,2024-12-31,2025-01-08,2422.68,Atrasada
149,1849,2024-06-14,2024-07-13,1233.79,Paga
150,4324,2024-06-28,2024-10-17,2973.16,Pendente
151,2469,2024-04-22,2024-08-09,8993.18,Pendente
152,3471,2024-05-08,2024-08-25,4358.43,Pendente
153,3815,2025-02-02,2025-02-13,1120.73,Atrasada
154,3270,2023-04-11,2024-07-21,920.93,Pendente
155,493,2024-07-30,2025-02-04,5424.68,Atrasada
156,2006,2024-08-11,2024-10-10,8874.69,Atrasada
157,4781,2023-12-05,2024-08-15,3161.63,Atrasada
158,4572,2025-01-28,2025-03-07,167.73,Pendente
159,2349,2024-12-03,2024-12-13,9536.02,Pendente
160,2979,2024-12-11,2025-02-06,7327.67,Pendente
161,896,2024-07-01,2024-11-30,2053.45,Paga
162,106,2024-04-03,2024-11-13,9843.82,Pendente
163,4093,2024-09-15,2024-09-29,2538.51,Pendente
164,4498,2025-01-03,2025-01-09,1253.79,Paga
165,1796,2024-02-15,2024-09-06,8848.0,Pendente
166,2660,2024-03-17,2024-05-09,9966.9,Atrasada
167,373,2024-11-23,2025-03-18,3616.57,Atrasada
168,4229,2023-06-14,2024-09-28,9776.81,Atrasada
169,468,2024-08-16,2024-11-06,1616.69,Atrasada
170,3093,2023-08-13,2025-02-04,5611.78,Pendente
171,4115,2025-01-03,2025-03-27,9324.45,Atrasada
172,232,2023-05-15,2023-12-07,5401.86,Pendente
173,2745,2023-09-25,2024-07-16,213.83,Pendente
174,1597,2023-07-03,2024-09-03,2380.81,Paga
175,406,2023-09-26,2024-03-20,3100.87,Atrasada
176,2703,2023-05-12,2024-08-06,7974.29,Pendente
177,3169,2023-04-10,2025-01-21,9134.44,Paga
178,348,2023-06-22,2023-10-16,6980.93,Pendente
179,4270,2023-05-18,2024-05-20,9995.05,Atrasada
180,4427,2024-05-06,2024-10-10,4754.65,Paga
181,216,2023-08-22,2023-12-21,8916.52,Pendente
182,4488,2024-08-06,2024-08-24,193.13,Pendente
183,3249,2024-09-29,2024-10-27,3128.73,Pendente
184,4582,2023-11-27,2024-12-22,6344.91,Atrasada
185,2492,2023-03-27,2025-01-02,8814.92,Atrasada
186,725,2024-09-22,2025-03-01,9555.15,Paga
187,167,2023-07-25,2024-08-27,1549.1,Atrasada
188,4116,2023-09-23,2024-08-18,3109.86,Atrasada
189,1432,2024-04-26,2025-01-19,5615.86,Atrasada
190,4125,2024-02-26,2024-11-29,9912.01,Pendente
191,1350,2024-07-28,2024-12-13,6825.47,Pendente
192,3364,2023-07-27,2024-01-06,6000.88,Paga
193,1640,2024-12-22,2025-01-17,7062.49,Atrasada
194,3631,2024-11-10,2025-03-06,6286.17,Pendente
195,2790,2024-06-11,2024-07-08,4507.14,Atrasada
196,1030,2023-07-30,2024-01-08,6762.52,Atrasada
197,2844,2024-12-13,2024-12-15,6076.01,Pendente
198,205,2024-07-12,2024-12-19,6882.5,Pendente
199,3596,2024-02-17,2024-08-08,7854.6,Pendente
200,3330,2023-05-09,2024-12-02,1683.49,Pendente
201,4846,2024-08-26,2024-09-19,7787.49,Pendente
202,3487,2023-12-01,2024-09-29,7228.82,Atrasada
203,3949,2024-04-06,2024-09-13,8654.88,Pendente
204,1273,2024-04-04,2024-08-19,3836.05,Atrasada
205,3781,2024-11-21,2025-01-12,5824.52,Atrasada
206,764,2024-10-24,2025-01-24,7928.32,Atrasada
207,644,2023-10-08,2024-04-30,8532.66,Paga
208,3240,2024-04-25,2025-03-21,8091.67,Pendente
209,2150,2024-02-16,2024-08-17,8819.46,Atrasada
210,3804,2024-06-06,2024-08-26,4546.91,Pendente
211,4935,2024-02-27,2024-11-10,3412.2,Paga
212,2712,2024-07-23,2024-12-09,2601.85,Atrasada
213,2362,2024-02-25,2024-08-17,4174.9,Paga
214,482,2024-08-17,2025-03-13,4642.75,Paga
215,1695,2024-04-27,2024-08-20,5955.07,Paga
216,3849,2023-10-11,2024-10-13,4378.87,Paga
217,4829,2024-05-01,2024-08-19,4974.26,Pendente
218,1845,2025-02-07,2025-02-15,5690.12,Atrasada
219,4779,2024-04-26,2024-09-19,6056.69,Paga
220,3304,2024-04-03,2024-11-03,3971.67,Paga
221,73,2023-03-19,2024-09-09,7012.06,Pendente
222,2192,2023-12-02,2024-06-17,8367.97,Pendente
223,1025,2023-03-14,2023-12-15,6963.44,Atrasada
224,747,2023-06-15,2023-08-09,8368.57,Pendente
225,3739,2023-06-25,2025-02-17,678.31,Pendente
226,1493,2023-11-19,2023-12-28,8988.71,Paga
227,4639,2024-07-23,2024-09-27,2452.76,Atrasada
228,642,2024-01-12,2024-11-24,8704.95,Atrasada
229,205,2023-04-12,2024-03-09,1073.7,Paga
230,2809,2023-11-14,2025-01-17,1159.39,Paga
231,3831,2024-03-28,2025-02-18,5206.36,Pendente
232,770,2024-12-23,2025-01-03,1018.72,Atrasada
233,3824,2023-08-20,2024-08-11,3478.63,Atrasada
234,3238,2023-03-29,2023-05-24,2891.65,Pendente
235,2602,2023-09-27,2024-02-14,1799.2,Pendente
236,468,2024-02-24,2024-12-15,4519.55,Atrasada
237,1432,2024-10-02,2024-11-30,965.25,Paga
238,2510,2023-09-03,2025-02-12,8255.94,Pendente
239,1951,2023-12-31,2024-03-20,7194.88,Pendente
240,1456,2023-03-13,2025-01-27,7502.03,Pendente
241,4668,2025-02-07,2025-02-27,8068.38,Pendente
242,2832,2024-08-19,2024-10-07,6158.65,Paga
243,3778,2025-01-11,2025-01-29,8586.13,Paga
244,2054,2023-09-12,2023-11-18,9991.93,Paga
245,758,2024-02-20,2025-03-15,7764.7,Atrasada
246,38,2024-07-16,2024-07-29,9688.93,Pendente
247,3786,2024-05-23,2024-07-16,4559.13,Atrasada
248,3207,2025-01-04,2025-02-16,2896.48,Paga
249,1038,2025-02-11,2025-02-27,7430.53,Atrasada
250,2211,2023-05-29,2024-01-21,8031.19,Pendente
251,2090,2023-12-24,2024-03-22,2128.7,Paga
252,4057,2025-01-25,2025-01-28,9513.46,Pendente
253,494,2023-08-09,2024-08-22,5199.82,Pendente
254,3403,2023-05-21,2023-12-01,7375.21,Pendente
255,3198,2024-12-28,2025-03-01,5558.76,Paga
256,2700,2024-10-27,2024-11-20,5974.57,Atrasada
257,885,2023-12-02,2024-06-29,1546.8,Paga
