id_pagamento,id_fatura,data_pagamento,valor_pago,metodo_pagamento
1,1851,2023-09-06,3955.01,Cartão de Crédito
2,5902,2025-02-20,4460.7,Boleto
3,3262,2023-05-12,2333.5,Cartão de Crédito
4,4903,2024-12-14,4437.53,PIX
5,1559,2023-08-15,581.63,PIX
6,6672,2024-11-04,950.28,Cartão de Crédito
7,6015,2024-07-03,1900.35,Boleto
8,6652,2023-10-21,9689.79,Transferência
9,1179,2024-06-09,2054.31,Transferência
10,1872,2023-11-13,6355.63,Transferência
11,4101,2024-04-04,2377.22,Boleto
12,2068,2024-12-27,8235.43,Cartão de Crédito
13,6785,2025-01-12,3866.83,Transferência
14,5019,2024-03-25,2189.21,Transferência
15,2800,2023-06-29,3504.52,PIX
16,948,2023-03-12,5863.44,Transferência
17,1405,2023-10-06,1858.85,Transferência
18,5829,2023-08-13,6754.77,PIX
19,726,2023-12-09,3285.31,PIX
20,5865,2023-04-07,7294.77,Cartão de Crédito
21,5899,2023-12-30,2908.55,Cartão de Crédito
22,6592,2023-03-07,8872.99,PIX
23,5861,2023-03-25,9606.31,Transferência
24,532,2023-09-22,429.72,Cartão de Crédito
25,2974,2023-09-01,7091.56,Cartão de Crédito
26,4123,2024-12-04,1956.42,Cartão de Crédito
27,735,2024-01-23,6606.43,Cartão de Crédito
28,302,2024-04-05,6161.74,Cartão de Crédito
29,3026,2023-07-03,6421.62,PIX
30,4790,2024-03-31,4154.54,Boleto
31,3660,2023-11-23,8225.93,Transferência
32,3533,2023-10-27,8569.66,Transferência
33,6089,2025-01-13,5726.41,Boleto
34,49,2023-03-16,9733.94,PIX
35,5517,2023-07-18,9408.7,Cartão de Crédito
36,5075,2025-01-13,8787.94,Transferência
37,6379,2024-07-26,698.77,Transferência
38,6566,2024-06-27,8868.34,Transferência
39,4660,2024-08-31,840.85,Cartão de Crédito
40,6794,2024-01-27,250.84,Boleto
41,2892,2023-12-13,2369.65,Transferência
42,5616,2025-02-03,4207.88,PIX
43,2059,2024-08-23,3766.46,Boleto
44,5509,2023-09-24,4516.64,PIX
45,4014,2023-03-15,5057.96,Boleto
46,1611,2023-11-02,4591.88,Transferência
47,3753,2024-08-20,1463.82,PIX
48,407,2025-02-18,2524.11,Transferência
49,1494,2024-08-12,1932.56,Transferência
50,764,2024-04-21,3225.8,Boleto
51,1894,2023-11-06,5936.99,Transferência
52,4690,2024-01-03,7757.54,Cartão de Crédito
53,2242,2024-05-10,2964.08,Transferência
54,647,2024-04-17,3204.05,PIX
55,4260,2023-02-28,82.46,Transferência
56,4703,2024-08-26,1481.14,Transferência
57,6677,2023-08-25,4615.39,PIX
58,3076,2024-12-15,6912.85,Boleto
59,1883,2023-06-01,9255.83,Boleto
60,839,2024-01-20,5491.12,Transferência
61,4892,2023-08-20,3139.51,Boleto
62,3360,2023-08-10,8514.41,Cartão de Crédito
63,326,2024-08-29,7655.06,Transferência
64,2797,2024-07-19,4639.17,Cartão de Crédito
65,835,2023-09-13,1918.7,Transferência
66,6620,2023-09-30,834.41,Transferência
67,4876,2023-05-29,4710.16,Cartão de Crédito
68,2483,2023-05-20,433.27,Cartão de Crédito
69,682,2024-05-03,8220.31,PIX
70,5329,2023-03-21,3449.84,Cartão de Crédito
71,4371,2024-07-28,4946.64,PIX
72,893,2023-03-01,1443.07,PIX
73,276,2024-07-13,7406.41,Cartão de Crédito
74,5063,2023-07-11,5526.12,Cartão de Crédito
75,1095,2025-01-31,8313.56,Transferência
76,1099,2024-09-01,4864.51,Transferência
77,1501,2023-12-29,9366.01,Transferência
78,1485,2023-12-22,3559.88,Boleto
79,2850,2023-05-19,4927.89,PIX
80,6066,2023-10-02,8271.51,PIX
81,869,2024-05-12,3209.53,PIX
82,6127,2024-09-15,8743.38,Boleto
83,5774,2025-02-23,2906.41,Transferência
84,3911,2023-05-07,6786.79,PIX
85,206,2024-10-11,951.74,Boleto
86,3661,2024-09-12,6811.64,PIX
87,2556,2024-06-21,8951.88,Boleto
88,256,2023-10-29,1665.8,Boleto
89,210,2023-07-30,1347.13,Transferência
90,1320,2024-10-22,7525.23,Boleto
