id_receita,id_cliente,descricao,valor,data_recebimento
1,4360,Field remain age.,2019.53,2024-06-04
2,2928,First space vote receive hit respond despite.,18316.24,2023-07-08
3,2448,Also style mind front a how contain help.,13083.46,2024-01-05
4,1564,Song fine maybe month wall worry.,24096.18,2024-02-12
5,3331,See certain station save allow woman against public.,22920.41,2024-11-25
6,808,Yeah sit pull significant now low.,18863.84,2023-09-16
7,1579,Establish pattern participant call whatever.,28704.33,2023-10-13
8,1044,Event college window pull management enjoy develop.,10306.57,2024-10-12
9,2039,Election pretty someone small success push.,25226.18,2024-06-01
10,1160,Inside want PM lawyer everyone difference.,14535.31,2023-07-06
11,2987,Expect step college economic owner politics.,5075.25,2023-12-28
12,4781,Shake skin thing discussion best.,27845.15,2024-10-06
13,3875,Wish certainly social so.,8282.23,2023-08-19
14,71,Money effect Mr enjoy though issue.,11908.39,2023-05-14
15,775,List security know machine good under.,16891.97,2024-12-22
16,2033,Adult low you home decade thank score.,28569.74,2025-02-07
17,563,Director act along realize.,4823.33,2023-06-09
18,3622,Dog ask five star decision.,3069.2,2024-08-21
19,3523,Through wall including owner there surface.,27026.52,2023-04-23
20,548,Land also check.,19499.12,2023-11-24
21,3824,Begin than understand lead chance military.,20290.36,2024-03-26
22,1951,Network fire professor power its customer left.,1450.21,2024-10-27
23,713,Method natural when how political course.,8056.91,2024-05-16
24,118,Maybe everybody star could lay.,23813.83,2024-09-05
25,3931,Challenge learn learn fine build resource include.,14421.99,2024-06-11
26,440,They too air mean hot whose beyond son.,10828.58,2024-03-08
27,1111,Middle pretty until.,9139.32,2023-06-26
28,4882,Market provide at very generation.,6320.4,2024-05-06
29,2205,Evidence everyone respond.,2120.77,2023-05-23
30,4231,Gun you large lead our case.,3951.45,2023-06-22
31,2961,Dinner physical third with life member.,5981.98,2024-05-11
32,2696,Force which show interest beyond fact.,14024.93,2023-10-30
33,1765,So wife movement practice only reason little.,23778.07,2024-12-03
34,2682,Weight least bar look.,12119.09,2023-06-23
35,4441,Compare reach surface six.,22419.22,2023-12-26
36,2705,East people find.,1085.19,2023-04-12
37,3433,Order kind her chair top.,19736.67,2024-11-27
38,4640,Real term improve politics space team.,15804.28,2024-08-10
39,4961,Approach across a couple real court material.,24117.15,2024-05-31
40,3721,Short often visit.,13230.35,2023-12-15
41,518,Put voice message blood training.,26574.0,2024-05-22
42,1093,Sign deep west product.,6795.34,2024-06-11
43,4714,Never alone much rich from mean.,8695.27,2023-05-16
